ID,Framework name,Official URL,"Is it commercially distributed? (If yes, what is the organization behind it?)",Q1*,Q2,Q3,Q4,Q5,Remarks,Result,Description (extracted from the official websites or repositories without modifications),Available SDKs/Code,License ,Country
30,Agents-Flex,https://github.com/agents-flex/agents-flex,No,Y,Y,Y,N,N**,Q4: The documentation is mostly in chinese without working translation,Excluded,Agents-Flex is an elegant LLM Application Framework like LangChain with Java.,Java,Apache 2.0,CHN
31,AgentVerse,https://github.com/OpenBMB/AgentVerse,OpenBMB,Y,N,N,Y,Y,Q2 and Q3: The framework intends more to simulate agentic environments rather than allow general users to create their own agents with a code-first approach,Excluded,AgentVerse is designed to facilitate the deployment of multiple LLM-based agents in various applications. AgentVerse primarily provides two frameworks: task-solving and simulation.,N/A,Apache 2.0,CHN
32,AGiXT,https://everything.software/,No,Y,N,Y,Y,Y,"Q2: Although with SDKs provided, the framework is not a code-first approach for agent development and is maketed as a agent platform.",Excluded,"GiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, and a versatile plugin system, AGiXT delivers efficient and comprehensive AI solutions.","Python
Typescript
Rust
Zig",MIT,US
33,AI Legion,https://github.com/eumemic/ai-legion,No,Y,Y,Y,N,N,"Remark: Popular project, but undocumented and apparently abandoned",Excluded,An LLM-powered autonomous agent platform,Typescript,MIT,N/A
34,Alita,Paper: https://www.arxiv.org/abs/2505.20286,Academic,N,N,N,N,N,,Excluded,Paper title: Alita: Generalist Agent Enabling Scalable Agentic Reasoning with Minimal Predefinition and Maximal Self-Evolution,N/A,N/A,US
35,Amazon Bedrock (with agents functonalities),https://aws.amazon.com/bedrock/agents/,Amazon,N,N,Y,Y,N,Remark: The bedrock is a service for AWS clients to manage agents and GenAI-powered applications within AWS ecosystem and not a general purpose code-first framework,Excluded,"Enable generative AI applications to automate multistep tasks by seamlessly connecting with company systems, APIs, and data sources",N/A,N/A,US
36,anda,anda.ai,LDC Labs,Y,Y**,Y**,N,N,,Excluded,"An AI agent framework built with Rust, powered by ICP and TEEs.",Rust,"Apache 2.0
MIT",CHN
37,AutoGPT,https://agpt.co/,AGPT,Y,N,Y,Y,Y,"Q2: The AutoGPT classic (deprecated) is code-first, but current version of the framework follows a different approach
Q5: Partially provided through the issues on main repository",Excluded,"AutoGPT is a powerful platform that allows you to create, deploy, and manage continuous AI agents that automate complex workflows.",N/A,MIT,US*
38,autogpt,https://docs.rs/autogpt/latest/autogpt/,No,Y,Y,Y,Y,N,Remark: Experimental work-in-progress framework,Excluded,?? A Pure Rust Framework For Building AGI (WIP).,Rust,MIT,LB
39,BabyAGI,https://babyagi.org/,No,N,Y,Y,N,Y,"Q1: Although supported by a huge community, the framework does not provide a proper OSS license
Q4: Their documentation classifies the project as experimental and subject to change",Excluded,This newest BabyAGI is an experimental framework for a self-building autonomous agent. Earlier efforts to expand BabyAGI have made it clear that the optimal way to build a general autonomous agent is to build the simplest thing that can build itself.,Python,N/A,US
40,CAMUNDA,https://camunda.com/,Camunda GmbH,N,N,Y,Y,N/A,Notes on MDE support: They provide agent orchestration fully backed by a BPMN interpreter,Excluded,"Camunda’s latest release is live—start using AI in your processes today. Build AI agents, automate documents with AI-powered IDP, run RPA bots, and more. All available now.",N/A,N/A,DE
41,DevOpsGPT,https://github.com/kuafuai/DevOpsGPT,No,Y,N,N,N,N,"Q3: The framework looks like a prototype for a specific task (converting requirements into code)
Q4: The documentation provided online is mainly in chinese",Excluded,Multi agent system for AI-driven software development. Combine LLM with DevOps tools to convert natural language requirements into working software. Supports any development language and extends the existing code.,N/A,Non standard,CHN
42,Dialogflow,https://cloud.google.com/dialogflow/docs,Google,N,N,N,Y,Y,Q3: The framework is designed for the development of conversational interfaces inside products developed with Google products (GCP),Excluded,"Dialogflow is a natural language understanding platform that makes it easy to design and integrate a conversational user interface into your mobile app, web application, device, bot, interactive voice response system, and so on. Using Dialogflow, you can provide new and engaging ways for users to interact with your product.",N/A,N/A,US
43,Dify,https://dify.ai/,LangGenius,Y,N,N,Y,Y,,Excluded,"Dify offers everything you need — agentic workflows, RAG pipelines, integrations, and observability — all in one place, putting AI power into your hands.",N/A,Non standard,CHN
44,DrugAgent,Paper: https://pubmed.ncbi.nlm.nih.gov/40297237/,Academic,N/A,N/A,N/A,N/A,N/A,Remark: The paper describes a application and not a framework,Excluded,Paper title: DruGagent: Multi-Agent Large Language Model-Based Reasoning for Drug-Target Interaction Prediction,N/A,N/A,US
45,DynTaskMAS,Paper:https://arxiv.org/abs/2503.07675,Academic,N,N/A,Y,N,N,"The paper describes some novelty on task management for agents, but the code/SDK is not directly provided by the authors",Excluded,Paper title: DynTaskMAS: A Dynamic Task Graph-driven Framework for Asynchronous and Parallel LLM-based Multi-Agent Systems,N/A,N/A,JP
46,Eclipse Hara,https://github.com/eclipse-hara,No,Y,N/A,N/A,Y,Y,"Remark: Hara is a framework that mention agents, but is not LLM-based",Excluded,Hara-ddiclient is a Kotlin library that facilitates and speeds up the development of DDI API clients for devices connecting to hawkBit servers.,JVM languages,EPL 2.0,N/A
47,Eliza,https://github.com/elizaOS/eliza,Eliza Labs,Y,N,N,Y,Y,,Excluded,A framework for multi-agent development and deployment,N/A,MIT,US
48,Flowise,https://flowiseai.com/,Flowiseai Inc,Y,N,Y,Y,Y,"Q2: The framework follows a fully visual approach and does not provide access to the code or a proper SDK.
Notes on MDE support: We consider their proposed visual language as a type of MDE-like support",Excluded,"Build AI Agents, Visually",N/A,Non standard,US
49,IBM watsonx Assistant,https://www.ibm.com/products/watsonx-assistant,IBM,N,N,N,Y,N,"Q3: The framework is designed for the development of conversational assistants powered by IBM Watson technologies
Q5: It was not possible to identify",Excluded,"IBM watsonx Assistant is a product that helps build better virtual agents to drive enterprise productivity, empowering teams to deliver frictionless self-service experiences and seamlessly scale across your business.",N/A,N/A,US
50,IoA,https://openbmb.github.io/IoA/,OpenBMB,Y,N,N,Y,N,"Remark: The framework is developed by the same organization as AgentVerse, and it does not intend to be a framework for agent development, but instead a framework for agent communication and discoverability.",Excluded,It’s an open-source framework that aims to create a platform where diverse AI agents can team up to tackle complex tasks.,N/A,Apache 2.0,CHN
51,Jade,https://jade.tilab.com/,No,Y,N/A,N/A,Y,Y,Remark: Jade is a framework for multi-agent systems that is not LLM-based,Excluded,JADE (Java Agent DEvelopment Framework) is a software Framework fully implemented in the Java language.,Java,GPL 3,IT
52,lagent,https://github.com/InternLM/lagent,InternalLM,Y,Y,Y,N,Y,"Q4: The only online and acessible documentation is the README on github page, which leads to a lack of information to contribute to our aimed terminology",Excluded,A lightweight framework that allows users to efficiently build LLM-based agents.,Python,Apache 2.0,CHN
53,LangFlow,https://www.langflow.org/,No,Y,N,Y,Y,Y,"Q2: Although extensible, the framework is not a code-first option. It follows a low-code approach.
Notes on MDE support: The agents are created using a graphical language that follows some patterns, even though not fully formalized",Excluded,"Langflow is a powerful tool for building and deploying AI-powered agents and workflows. It provides developers with both a visual authoring experience and a built-in API server that turns every agent into an API endpoint that can be integrated into applications built on any framework or stack. Langflow comes with batteries included and supports all major LLMs, vector databases and a growing library of AI tools.",Python,MIT,BR
54,Letta,https://www.letta.com/,Letta AI,Y,N,Y,Y,Y,"Q2: Although an SDK is provided, the Letta purpose aims a higher level of abstraction and not a code-first approach",Excluded,The AI Operating System,Python,Apache 2.0,US
55,Mesa,https://mesa.readthedocs.io/,projectmesa,Y,Y,N,Y,Y,"Q3: The framework is designed to provide agent-based modeling for simulation and not domain-agnostic LLM-based agents.
Notes on MDE support: There are intersections between Agent-based modeling and MDE",Excluded,"Mesa is an open-source Python library for agent-based modeling, ideal for simulating complex systems and exploring emergent behaviors.",Python,Apache 2.0,US
56,Microsoft Bot Framework,https://github.com/microsoft/botframework-sdk,Microsoft,Y,Y,N,N,Y,"Q3: The framework intends to create conversational bots and not domain-agnostic agents.
Q4: The official website is offline, and the repository on GitHub has not received relevant commits in recent years. Maybe this project is deprecated
Remark: Although identified by the search queries, the repository does not mention LLMs as a first citizen concept.",Excluded,Bot Framework provides the most comprehensive experience for building conversation applications.,"C#
Python
Javascript",MIT,US
57,n8n,https://n8n.io/,n8n,Y,N,Y,Y,Y,,Excluded,n8n is a workflow automation platform that gives technical teams the flexibility of code with the speed of no-code. ,N/A,Non standard,DE/US
58,NetLogo,https://ccl.northwestern.edu/netlogo/,CCL,Y,N,N,Y,Y,Notes on MDE support: There are intersections between  MDE and the type of modeling proposed by NetLogo,Excluded,NetLogo is an open-source multi-platform agent-based modeling environment that is available on all major desktop operating systems,N/A,Not found,US
59,NVIDIA NeMo Agent Toolkit,https://developer.nvidia.com/nemo-agent-toolkit,NVIDIA,Y,N,Y,Y,Y,"Q2: Altough extensible, the framework is not a code-first option. It follows a low-code (configuration based) approch and it intends to complement other existent frameworks to solve complex business problems",Excluded,"NVIDIA NeMo™ Agent toolkit is an open-source library that provides framework-agnostic profiling and optimization for production AI agent systems. By exposing hidden bottlenecks and costs, it helps enterprises scale agentic systems efficiently while maintaining reliability.",Python,Apache 2.0,US
60,ODA,Paper: https://arxiv.org/abs/2404.07677,Academic,N,N/A,Y,N,N,"The paper how to combine LLM-based agents and Knowledge Graphs, but the code/SDK is not directly provided by the authors",Excluded,Paper title: ODA: Observation-Driven Agent for integrating LLMs and Knowledge Graphs,N/A,N/A,JP
61,OpenManus,https://github.com/FoundationAgents/OpenManus,No,Y,N,N,N,Y,,Excluded,An open-source framework for building general AI agents.,Python,MIT,CHN
62,Parlant,https://www.parlant.io/,emcie,Y,Y,N,Y,Y,"Q3: The framework targets conversational agents, even allowing the development of domain-agnostic experiences.",Excluded,"Parlant is an open-source conversation modeling engine that gives you unparalleled control over Large Language Models (LLMs), enabling the creation of truly deliberate, predictable, and compliant Agentic User Experiences (UX).",Python,Apache 2.0,IL
63,Paypal Agent tolkit,https://developer.paypal.com/tools/agent-toolkit/,PayPal,N,N,N,Y,N,Remark: It is not a framework for agents development,Excluded,"PayPal's agent toolkit is a library that incorporates PayPal API capabilities into AI agent workflows. This toolkit enables popular agent frameworks, such as OpenAI's Agents SDK, Vercel's AI SDK, Model Context Protocol (MCP), LangChain, and CrewAI, to integrate with PayPal APIs using function calling. ",N/A,N/A,US
64,PlanGEN,Paper: https://arxiv.org/abs/2502.16111,Academic,Y,N,N,N,N,,Excluded,"Paper title: PlanGEN: A Multi-Agent Framework for 
Generating Planning and Reasoning Trajectories
for Complex Problem Solving",N/A,Apache 2.0,US
65,PySpur,https://www.pyspur.dev/,SevnAI,Y,N,Y,Y,Y,"Q2: The framework is not exactly a code-first option, even tough they provided well-documented ways to extend their tooling using a Python SDK
Notes on MDE support: They provided a graphical language as the main feature for agent development.",Excluded,A visual playground for agentic workflows: Iterate over your agents 10x faster,Python,Apache 2.0,UK
66,Raga,https://github.com/raga-ai-hub/RagaAI-Catalyst,RagaAI,Y,N,N,Y,Y,Q2 and Q3: Framework for agents observability and not agent development,Excluded,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view",Python,Apache 2.0,US
67,Rasa,https://rasa.com/,Rasa GmbH,N,Y,N,Y,N/A,"Q3: The framework targets more the creation of assistants rather than agents
Notes on MDE support: They provide a graphical interface to define the assistants using an MDE-like workflow language.",Excluded,"he Rasa Platform helps teams build, test, deploy, and analyze AI assistants at scale. Whether launching your first assistant or scaling enterprise AI, Rasa is set up to adapt and grow with you.",Python,N/A,DE
68,Repast,https://repast.github.io/,Argone NL,Y,N,N,Y,Y,Notes on MDE support: There are intersections between Agent-based modeling and MDE,Excluded,"The Repast Suite is a family of advanced, free, and open source agent-based modeling and simulation platforms that have been under continuous development for over 20 years","Java
C++
Python",Non standard,US
69,Rivet,https://rivet.ironcladapp.com/,Ironcladapp,Y,N,Y,Y,Y,"Q2: The framework is not exactly a code-first option, and they don't provide well-documented ways to extend their tooling using an SDK
Notes on MDE support: They provided a graphical language as the main feature for agent development.",Excluded,The open-source visual AI programming environment and TypeScript library,Typescript,MIT,US
70,rusty-agent,https://github.com/tmetsch/rusty_agent,No,Y,N/A,N/A,N,N,Remark: Potential single-developer project,Excluded,Multi-agent framework in Rust,Rust,MIT,US
71,SuperAGI,https://superagi.com/,No,Y,N,Y,N,Y,"Q2: The framework is a full-flaged product for running agents and not a code-first option
Q4: At the time of the research, their website was quite unstable
Notes on MDE support: They offer an Agent Builder module that allows users to create agents combining components using some kind of proprietary graphical language that may be classified as MDE-like support.",Excluded,"Open-source framework to build, manage and run useful Autonomous AI Agents",N/A,MIT,IND/US
72,swarm,https://github.com/openai/swarm,OpenAI,Y,Y,Y,Y,N,"Q5: Backed by OpenAI and very popular, but it does not intend to be production-ready and does not include huge community contributions nor participation initiatives.",Excluded,"Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team.",Python,MIT,US
73,SWE-Agent,https://swe-agent.com/latest/,No,Y,N,N,Y,Y,,Excluded,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024]",N/A,MIT,US
74,Tasking,https://www.tasking.ai/,TaskingAI,Y,N,N,Y,Y,Remark: Agent orchestration framework without code-first approach,Excluded,The open source platform for AI-native application development.,N/A,Apache 2.0,N/A
75,Zapier,https://zapier.com/,Zapier,N,N,Y,Y,N,,Excluded,The most connected AI orchestration platform,N/A,N/A,US
